sl_store,sl_description,sl_address,sl_city,sl_state,sl_zip,sl_phone,Toll Free,sl_fax,sl_url,sl_image
CHAPLEAU ,INTEGRATION COMMUNAUTAIRE CHAPLEAU COMMUNITY LIVING (NORTH 4 FRANCOPHONE),92 LORNE STREET SOUTH BOX 1377, CHAPLEAU, ON ,P0M 1K0,705-864-2932 ,,705-864-1720,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
CHATHAM-KENT,COMMUNITY LIVING CHATHAM-KENT (SOUTHWEST),650 RIVERVIEW DR .UNIT #2 BOX 967,CHATHAM , ON,N7M 5J5,519-352-1174 ,, 519-352-5459,WWW.CLC-K.CA,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
DUFFERIN,Community Living Dufferin(Central West),065371 COUNTY ROAD 3, ORANGEVILLE, ON  ,L9W 2Y9,519-941-8971 ,,519-941-9121,www.communitylivingdufferin.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
DURHAM NORTH,COMMUNITY LIVING DURHAM NORTH (CENTRAL EAST), 60 VANEDWARD DR. #2 BOX 964, PORT PERRY, ON , L9L 1A8, 1-905-985-8511,,1-905-985-0799,www.communitylivingdurhamnorth.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
DUNDAS COUNTY,COMMUNITY LIVING DUNDAS COUNTY (CENTRAL EAST), 55 ALLISON AVENUE BOX 678, MORRISBURG, ON,K0C 1X0,613-543-3737 ,,613-543-4432,WWW.CLDC.CA,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
ELMIRA,ELMIRA DISTRICT COMMUNITY LIVING (WEST 2),118 BARNSWALLOW DR., ELMIRA, ON  ,N3B 2Y9,519-669-3205 ,,519-669-3444 ,www.elmiraacl.com,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
ESPANOLA,COMMUNITY LIVING ESPANOLA ,345 CENTRE STREET, ESPANOLA, ON ,P5E 1E4,,,705- 869-0446 ,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
ESSEX COUNTY,COMMUNITY LIVING ESSEX COUNTY,372 TALBOT STREET NORTH,ESSEX, ON, N8M 2W4,(519) 776-6483 ,,519- 776-6972,WWW.COMMUNITYLIVINGESSEX.ORG,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
FORT ERIE,COMMUNITY LIVING FORT ERIE, 615 INDUSTRIAL DRIVE BOX 520, FORT ERIE, ON,L2A 5Y1,(905) 871-6770,,905 871-3339,WWW.CLFE.CA,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
FORT FRANCES,COMMUNITY LIVING FORT FRANCES & DISTRICT (NORTH 1-SUNSET REGION), 340 SCOTT ST. BOX 147, FORT FRANCES, ON  ,P9A 3M5,807-274-5556,,807-274-5009,www.communitylivingfortfrances.com,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
GEORGINA,COMMUNITY LIVING GEORGINA, SUTTON WEST BOX 68,GEORGINA, ON, L0E 1R0,(905) 722-8947,,(905) 722-9591,WWW.COMMUNITYLIVINGGEORGINA.COM,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
 ALEXANDRIA,COMMUNITY LIVING ALEXANDRIA,232 MACDONALD BLVD., ALEXANDRIA, ON,  K0C 1A0,613-525-4357,,613-525-4360,www.clglen.on.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
GREATER SUDBURY,COMMUNITY LIVING GREATER SUDBURY/INT_GRATION COMMUNAUTAIRE GRAND SUDBURY (NORTH 4) (FRANCOPHONE),303 YORK ST. #241 (CNIB BLDG), SUDBURY, ON  ,P3E 2A5 ,705-671-7181 ,, 705-671-1238,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
GRIMSBY,COMMUNITY LIVING GRIMSBY AND WEST LINCOLN (WEST 2), LINCOLN KINGSWAY PLACE BOX 220 UNITS 8 AND 9, LINCOLN, ON , L0R 1B0,905-563-4115 ,,905-563-8887,www.cl-grimsbylincoln.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
HALIBURTON COUNTY,COMMUNITY LIVING HALIBURTON COUNTY (ALGONQUIN),713 MOUNTAIN ST. BOX 90,HALIBURTON, ON ,K0M 1S0,705-457-2626,,705-457-9287,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
HALDIMAND,Community Living Haldimand(West 2), 2256 RIVER RD. BOX 396, CAYUGA, ON  ,N0A 1E0,1-905-772-3344 ,,1-905-772-3155,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
HAMILTON,COMMUNITY LIVING HAMILTON (WEST 2),191 YORK BLVD., HAMILTON, ON ,L8R 1Y6,1-905-528-0281 ,,1-905-528-5156,www.communitylivinghamilton.com,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
HANOVER,COMMUNITY LIVING HANOVER AND AREA (WEST 3),521 _ 11TH AVE., HANOVER, ON , N4N 2S3, 519-364-6100,,519-364-7488,www.clhanover.com,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
HEARST,INTEGRATION COMMUNAUTAIRE HEARST COMMUNITY LIVING (NORTH 3),923 EDWARD ST. BOX 12000,HEARST, ON , P0L 1N0,705-362-5758 ,,705-362-8093,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
HUNTSVILLE,COMMUNITY LIVING HUNTSVILLE (ALGONQUIN),99 WEST ROAD, HUNTSVILLE, ON  ,P1H 1M1, 705-789-4543 ,,705-789-0752,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
IROQUOIS FALLS,COMMUNITY LIVING IROQUOIS FALLS L¡¯INTEGRATION COMMUNAUTAIRE D¡¯IROQUOIS FALLS, 9 VETERANS DR. BOX 310, IROQUOIS FALLS, ON ,P0K 1E0,705-258-3971 ,,705-258-3119 ,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
JAMES BAY,JAMES BAY ASSOCIATION FOR COMMUNITY LIVING  (NORTH 3), MOOSONEE BOX 460, MOOSONEE, ON  ,P0L 1Y0, 705-336-2378,,705-336-2694,www.jbacl.org ,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
KAWARTHA LAKES,COMMUNITY LIVING KAWARTHA LAKES (LAKESHORE), 205 MCLAUGHLIN ROAD #200, LINDSAY, ON  ,K9V 0K7,705-328-0464,,705-328-0495,www.communitylivingkl.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
KENORA,KENORA ASSOCIATION FOR COMMUNITY LIVING (NORTH 1),501 EIGHTH AVENUE SOUTH, KENORA, ON  , P9N 3Z9,807-467-5225,,807-467-5247,WWW.KACL.CA,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
KINCARDINE,COMMUNITY LIVING KINCARDINE AND DISTRICT (WEST 3), 286 LAMBTON ST. BOX 9000, KINCARDINE, ON , N2Z 2Z3,519-396-9434 ,,519-396-4514,www.clkd.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
KINGSTON,COMMUNITY LIVING KINGSTON & DISTRICT (LAKESHORE),1412 PRINCESS ST., KINGSTON, ON  ,K7M 3E5,613-546-6613,, 613-546-0436,www.communitylivingkingston.org,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
KIRKLAND LAKE,COMMUNITY LIVING KIRKLAND LAKE (NORTH 3),51 GOVERNMENT RD W., KIRKLAND LAKE, ON , P2N 2E5, 705-567-9331 ,,705-567-5005,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
KITCHENER-WATERLOO,KITCHENER-WATERLOO ASSOCIATION FOR COMMUNITY LIVING (WEST 2) ,99 OTTAWA STREET SOUTH,KITCHENER, ON  ,N2G 3S2,519-744-6307 (EXT.1321) ,,519-571-1629,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
LANARK COUNTY,COMMUNITY LIVING ASSOCIATION (LANARK COUNTY) (LES VALLEES) (FRANCOPHONE),178 TOWNLINE RD EAST, CARLETON PLACE, ON  ,K7C 2C2, 613-257-8040 ,,613-257-5679,www.clalanark.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
LENNOX AND ADDINGTON,COMMUNITY LIVING LENNOX AND ADDINGTON,99 RICHMOND BLVD. NAPANEE,LENNOX, ON  ,K7R 3S3,613-354-2184,,613-354-0815,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
LONDON,COMMUNITY LIVING LONDON (SOUTHWEST),190 ADELAIDE ST.  SOUTH, LONDON, ON  ,N5Z 3L1,519-686-3000,,519-686-5490,www.cll.on.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
MADOC ,MADOC C.O.P.E. CORPORATION, 7 HILL AVENUE P.O.BOX.616,MADOC, ON  ,K0K 2K0,613-473-4158 ,,613-473-0273,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
MANITOULIN,COMMUNITY LIVING MANITOULIN (NORTH 4),6062 HWY 542  BOX 152, MINDEMOYA, ON,P0P 1A0,705-377-6699,,705-377-7175,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
MEAFORD,COMMUNITY LIVING MEAFORD (WEST 3),76 SYKES STREET NORTH, MEAFORD, ON , N4L 1R2,519-538-4165,,519-538-5820,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
MIDDLESEX,MIDDLESEX COMMUNITY LIVING  (SOUTHWEST),82 FRONT ST. W 2ND FLR., STRATHROY, ON  ,N7G 1X7,519-245-1301,,519-245-5654,www.middlesexcl.on.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
NEWMARKET/AURORA,COMMUNITY LIVING NEWMARKET/AURORA DISTRICT (CENTRAL YORK),757 BOGART AVE., NEWMARKET, ON,  L3Y 2A7,905-898-3000,,905-898-6441,www.clnad.com,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
NORFOLK,NORFOLK ASSOCIATION FOR COMMUNITY LIVING (WEST 2),644 IRELAND ROAD, SIMCOE, ON  ,N3Y 4K2,519-426-5000 ,,519-426-5744,www.nacl.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
NORFOLK- HALDIMAND COUNTIES ,COMMUNITY LIVING ACCESS SUPPORT SERVICES  ,89 CULVER ST., SIMCOE, ON  ,N3Y 2V5,519-426-0007,,519-426-9549 ,www.access-support.on.ca ,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
NORTH BAY,COMMUNITY LIVING  NORTH BAY INT_GRATION COMMUNAUTAIRE NORTH BAY (NORTH 3) (FRANCOPHONE),161 RUE MAIN ST. EAST/EST, NORTH BAY, ON , P1B 1A9,705-476-3288 ,,705-476-4788,www.communitylivingnorthbay.org,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
NORTH EAST,NORTH EAST ASSOCIATION FOR COMMUNITY LIVING (NORTH 3) (FRANCOPHONE),12 KIMBERLEY DR, KAPUSKASING, ON  ,P5N 1L5,705-337-1417,,705-337-6538 ,www.kdacl.com,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
NORTH FRONTENAC,COMMUNITY LIVING _ NORTH FRONTENAC (LAKESHORE),1025 ELIZABETH ST., SHARBOT LAKE, ON , K0H 2P0,613-279-3731,,613-279-3732,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
NORTH GRENVILLE,COMMUNITY LIVING NORTH GRENVILLE (LES VALL_ES), 2830 COUNTY RD. #43 BOX 1430, KEMPTVILLE, ON ,K0G 1J0, 613-258-7177 ,,613-258-7469,www.communitylivingnorthgrenville.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
NORTH HALTON,COMMUNITY LIVING NORTH HALTON (CENTRAL WEST),917-B NIPISSING ROAD, MILTON, ON  ,L9T 5E3,905-878-2337 ,,905-878-5413,www.clnh.on.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
NORTH HASTINGS,NORTH HASTINGS COMMUNITY INTEGRATION ASSOCIATION (LAKESHORE), 2 ALICE ST. BOX 1508, BANCROFT, ON , K0L 1C0,613-332-2090,,613-332-4762,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
NORTH PERTH,COMMUNITY LIVING NORTH PERTH (SOUTHWEST), 820 MAIN ST. EAST. LISTOWEL,PERTH, ON, N4W 3H4,519-291-1350,,519-291-2747 ,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
OSHAWA/CLARINGTON,COMMUNITY LIVING OSHAWA/CLARINGTON CENTRAL EAST),39 WELLINGTON ST. EAST, OSHAWA, ON  ,L1H 3Y1,905-576-3011,,905-576-9754,www.communitylivingoc.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
OTTAWA,ASSOCIATION POUR L¡¯INT_GRATION SOCIALE D¡¯OTTAWA LES VALLEES) (FRANCOPHONE),235 RUE DONALD, OTTAWA, ON , K1K 1N1,613-744-2241,,613-744-4898,www.aiso.org,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
OTTAWA,LIVEWORKPLAY ,1223 MICHAEL ST. STE. 301, OTTAWA, ON ,K1N 1H5,(613) 235-9550,,(613) 248-6671,WWW.LIVEWORKPLAY.CA,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
OWEN SOUND,COMMUNITY LIVING OWEN SOUND AND DISTRICT (WEST 3),769 4TH AVENUE EAST, OWEN SOUND, ON  ,N4K 2N5, 519-371-9251 ,,519-371-5168,www.communitylivingowensound.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
PETERBOROUGH,COMMUNITY LIVING PETERBOROUGH (LAKESHORE),223 AYLMER ST., PETERBOROUGH, ON  ,K9J 3K3,705-743-2411,,705-743-3722,www.communitylivingpeterborough.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
PORT COLBORNE _ WAINFLEET,COMMUNITY LIVING PORT COLBORNE- WAINFLEET (WEST 2),100 MCRAE AVENUE, PORT COLBORNE, ON  ,L3K 2A8 ,1-905-835-8941,,1-905-835-5515,www.portcolbornecommunityliving.com,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
PRESCOTT _ RUSSELL,VALORIS FOR CHILDREN AND ADULTS OF PRESCOTT-RUSSELL VALORIS POUR ENFANTS ET ADULTES DE PRESCOTT-RUSSELL (LES VALL_ES) (FRANCOPHONE),173 OLD HIGHWAY 17, PLANTAGENET, ON , K0B 1L0,613-673-5148,,613-673-4800 ,www.integra-pr.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
PRINCE EDWARD,COMMUNITY LIVING PRINCE EDWARD (LAKESHORE),67 KING STREET UNIT 1, PICTON, ON  ,K0K 2T0,613-476-6038,,613-476-2868,www.clpe.on.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
QUAD COUNTY,QUAD COUNTY SUPPORT SERVICES (SOUTHWEST), 195 WELLINGTON ST. WARDSVILLE BOX 65, TRENTON, ON ,N0L 1Z0,519-693-4812,,519-693-7055,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
QUINTE WEST,COMMUNITY LIVING QUINTE WEST,11 CANAL STREET,QUINTE WEST, ON  ,K8V 4K3,613-394-2222,,613-394-0381,www.clqw.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
RENFREW COUNTY SOUTH,COMMUNITY LIVING RENFREW COUNTY SOUTH (LES VALL_ES) (FRANCOPHONE), 326 RAGLAN ST. RENFREW BOX 683,RENFREW COUNTY SOUTH, ON , K7V 4E7, 613-432-6763,,613-432-9465,www.clrcs.com,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
ST. CATHARINES,COMMUNITY LIVING ST. CATHARINES (WEST 2),82 LAKE ST. SUITE 200., ST. CATHARINES, ON , L2R 5X4,1-905-688-5222,,1-905-688-9926,www.clstcatharines.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
ST. MARY¡¯S,COMMUNITY LIVING ST. MARYS AND AREA (SOUTHWEST),300 ELGIN ST. EAST BOX 1618, ST. MARYS, ON, N4X 1B9, 519-284-1424,,519-284-3120,WWW.COMMUNITYLIVINGSTMARYS.CA,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
SARNIA-LAMBTON,Community Living Sarna-Lambton(Southwest),551 Exmouth Street  #202,Sarnia, ON ,N7T 5P6,519-332-0560 ,,519-332-3446,www.commuinitylivingsarnia.org,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
SIMCOE COMMUNITY SERVICES,(DIVISIONS: COMMUNITY LIVING SIMCOE  PRESCHOOL SERVICES SIMCOE)(ALGONQUIN),39 FRASER COURT, BARRIE, ON , L4N 5J5,705-726-9082  ,,705-726-6875,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
SOUTH-EAST GREY,SOUTH-EAST GREY SUPPORT SERVICES (WEST 3), 24 TORONTO ST. FLESHERTON BOX 12,, ON  ,N0C 1E0,519-924-3339,,519-924-3575,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
SOUTH HURON,COMMUNITY LIVING SOUTH HURON (SOUTHWEST),146 MAIN STREET, DASHWOOD, ON  ,N0M 1N0,519-237-3637,,519-237-3190,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
STORMONT COUNTY,COMMUNITY LIVING STORMONT COUNTY (LES VALL_ES) (FRANCOPHONE),280 _ NINTH ST. WEST, CORNWALL, ON  ,K6J 3A6,613-938-9550,,613-938-2033,,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
STRATFORD,COMMUNITY LIVING STRATFORD AND AREA (SOUTHWEST),112 FREDERICK ST., STRATFORD, ON  ,N5A 3V7,519-273-1000,,519-273-6277,www.community-living.com,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
SUPERIOR GREENSTONE,SUPERIOR GREENSTONE ASSOCIATION FOR COMMUNITY LIVING(NORTH 2), 206 HOGARTH AVE. W. GERALDTON BOX 970,, ON ,P0T 1M0,807-854-0775,1-888-434-4409 ,807-854-1047,www.sgacl.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
TEMISKAMING SOUTH,COMMUNITY LIVING TEMISKAMING SOUTH, HAILEYBURY BOX 1149,, ON , P0J 1K0, 705-672-2000,,705-672-2722,www.communitylivingts.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
THUNDER BAY,COMMUNITY LIVING THUNDER BAY(NORTH 2),1501 DEASE STREET, THUNDER BAY, ON  ,P7C 5H3,807-622-1099,,807-622-1132,www.cltb.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
TILLSONBURG,COMMUNITY LIVING TILLSONBURG(SOUTHWEST),96 TILL SON AVENUE, TILLSONBURG, ON  ,N4G 3A1,519-842-9000,,519-842-7628,www.communitylivingtillsonburg.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
TIMMINS,COMMUNITY LIVING TIMMINS INT_GRATION COMMUNAUTAIRE (NORTH 3) (FRANCOPHONE),166-A BROUSSEAU AVENUE, TIMMINS, ON  ,P4N 5Y4,705-268-8811,,705-267-2011,www.communitylivingtimmins.com,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
TORONTO,COMMUNITY LIVING TORONTO (CENTRAL TORONTO),20 SPADINA ROAD, TORONTO, ON , M5R 2S7,416-968-0650,,416-968-7320,www.communitylivingtoronto.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
UPPER OTTAWA VALLEY:,COMMUNITY LIVING UPPER OTTAWA VALLEY (LES VALL_ES) (FRANCOPHONE),894 PEMBROKE ST. W, PEMBROKE, ON , K8A 6Y6,613-735-0659  ,,613-735-1373,www.communitylivingupperottawavalley.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
WALKERTON,COMMUNITY LIVING WALKERTON AND DISTRICT  BOX 999, 19 DURHAM ST. EAST,WALKERTON, ON ,N0G 2V0,519-881-3713 ,,519-881-0531,WWW.CLWALKERTON.ORG ,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
WALLACEBURG,Community Living Wallaceburg(Southwest),1100 DUFFERIN AVE., WALLACEBURG, ON  ,N8A 2W1,519-627-0777 ,,519-627-8905,www.getintocommunityliving.com,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
WELLAND PELHAM,COMMUNITY LIVING  WELLAND PELHAM (WEST 2) (FRANCOPHONE),535 SUTHERLAND AVE., WELLAND, ON , L3B 5A4,1-905-735-0081,,1-905-735-2256,www.cl-wellandpelham.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
WEST NIPISSING,COMMUNITY LIVING WEST NIPISSING (NORTH 3) (FRANCOPHONE),75 RAILWAY ST., STURGEON FALLS, ON  ,P2B 3A1,705-753-1665  ,,705-753-2482,www.communitylivingwestnipissing.com,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
WEST NORTHUMBERLAND,COMMUNITY LIVING _ WEST NORTHUMBERLAND (LAKESHORE),275 COTTESMORE AVE., COBOURG, ON  ,K9A 4E3, 1-905-372-4455,,1-905-372-2783,www.communitylivingwestnorthumberland.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
WINDSOR,COMMUNITY LIVING WINDSOR (SOUTHWEST),7025 ENTERPRISE WAY, WINDSOR, ON  ,N8T 3N6,519-974-4221  ,,519-974-4157,www.clwindsor.org,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
YORK SOUTH,COMMUNITY LIVING YORK SOUTH (CENTRAL YORK),101 EDWARD AVE., RICHMOND HILL, ON  ,L4C 5E5,905-884-9110,,905-737-3284,www.communitylivingyorksouth.ca,http://shufei.local/app/plugins/store-locator-le/images/icons/clo_map_icon.png
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,16-01-1416-01-14,,,,,,,,,
